District,Year,Crop,Production
17,2013,Wheat,151.52
17,2014,Wheat,123.0
17,2015,Wheat,79.0
17,2016,Wheat,236.0
17,2017,Wheat,210.5
18,1966,Wheat,7.0
18,1967,Wheat,58.0
18,1968,Wheat,57.3
18,1969,Wheat,77.4
18,1970,Wheat,67.1
18,1971,Wheat,86.2
18,1972,Wheat,56.8
18,1973,Wheat,37.9
18,1974,Wheat,47.1
18,1975,Wheat,71.6
18,1976,Wheat,59.0
18,1977,Wheat,88.0
18,1978,Wheat,100.0
18,1979,Wheat,45.0
18,1980,Wheat,129.6
18,1981,Wheat,95.1
18,1982,Wheat,105.5
18,1983,Wheat,138.7
18,1984,Wheat,92.1
18,1985,Wheat,148.5
18,1986,Wheat,133.0
18,1987,Wheat,164.0
18,1988,Wheat,113.4
18,1989,Wheat,93.5
18,1990,Wheat,185.2
18,1991,Wheat,131.9
18,1992,Wheat,171.5
18,1993,Wheat,199.7
18,1994,Wheat,226.5
18,1995,Wheat,209.3
18,1996,Wheat,188.5
18,1997,Wheat,190.7
18,1998,Wheat,202.1
18,1999,Wheat,217.7
18,2000,Wheat,172.2
18,2001,Wheat,213.1
18,2002,Wheat,193.0
18,2003,Wheat,204.4
18,2004,Wheat,181.08
18,2005,Wheat,173.44
18,2006,Wheat,133.06
18,2007,Wheat,99.3
18,2008,Wheat,165.3
18,2009,Wheat,158.0
18,2010,Wheat,111.3
18,2011,Wheat,215.4
18,2012,Wheat,383.75
18,2013,Wheat,318.56
18,2014,Wheat,683.0
18,2015,Wheat,398.0
18,2016,Wheat,560.0
18,2017,Wheat,499.97
19,1966,Wheat,1.0
19,1967,Wheat,11.0
19,1968,Wheat,5.0
19,1969,Wheat,16.5
19,1970,Wheat,17.8
19,1971,Wheat,12.6
19,1972,Wheat,14.5
19,1973,Wheat,8.3
19,1974,Wheat,11.6
19,1975,Wheat,17.3
19,1976,Wheat,14.2
19,1977,Wheat,19.1
19,1978,Wheat,28.2
19,1979,Wheat,11.3
19,1980,Wheat,23.9
19,1981,Wheat,26.2
19,1982,Wheat,20.6
19,1983,Wheat,32.9
19,1984,Wheat,27.3
19,1985,Wheat,38.8
19,1986,Wheat,37.0
19,1987,Wheat,39.0
19,1988,Wheat,27.5
19,1989,Wheat,31.3
19,1990,Wheat,56.1
19,1991,Wheat,44.2
19,1992,Wheat,51.3
19,1993,Wheat,68.3
19,1994,Wheat,81.9
19,1995,Wheat,75.8
19,1996,Wheat,59.7
19,1997,Wheat,84.4
19,1998,Wheat,69.8
19,1999,Wheat,72.9
19,2000,Wheat,60.9
19,2001,Wheat,72.0
19,2002,Wheat,57.0
19,2003,Wheat,76.6
19,2004,Wheat,67.2
19,2005,Wheat,65.3
19,2006,Wheat,67.56
19,2007,Wheat,54.7
19,2008,Wheat,75.9
19,2009,Wheat,80.4
19,2010,Wheat,73.2
19,2011,Wheat,128.3
19,2012,Wheat,198.24
19,2013,Wheat,212.23
19,2014,Wheat,310.0
19,2015,Wheat,231.0
19,2016,Wheat,327.0
19,2017,Wheat,266.16
20,1966,Wheat,13.0
20,1967,Wheat,84.0
20,1968,Wheat,56.3
20,1969,Wheat,84.9
20,1970,Wheat,94.0
20,1971,Wheat,111.8
